WELL,DEPTH,GR_norm,PEF,PHIA,PHIE,PHIN_norm,RHOB_norm,RoMS,RT,SwIrr,SwMS,VCL,VSH,Core_Kmax,anomaly_scores,anomaly
PozoS2,10496.1,48.085,1.9574,0.2358,0.2053,0.253,2.2893,13.2238,101.5287,0.1219,0.3062,0.3791,0.1385,1227.0,0.10479438753379627,1
PozoS2,10497.1,20.9636,1.9804,0.2031,0.2053,0.1866,2.2876,17.6669,69.6722,0.122,0.4912,0.0483,0.0,1973.1,0.05927010465039295,1
PozoS2,10501.1,38.3754,1.8911,0.2316,0.2233,0.2352,2.2739,14.2763,460.8618,0.098,0.1536,0.2607,0.0291,228.0,0.11578375851432521,1
PozoS2,10502.1,34.1372,1.8963,0.2207,0.2144,0.2244,2.292,15.3177,980.5877,0.1093,0.1093,0.209,0.0299,957.5,0.1179307010208262,1
PozoS2,10503.6,45.7902,1.8852,0.2179,0.2018,0.2287,2.3083,15.0806,1004.3538,0.1271,0.1271,0.3511,0.087,769.2,0.10613395911201445,1
PozoS2,10505.1,36.2036,2.0135,0.2086,0.1999,0.2158,2.3175,16.3044,882.1541,0.1299,0.1299,0.2342,0.0575,554.7,0.11177832663341708,1
PozoS2,10506.1,33.5699,1.8808,0.2089,0.2002,0.216,2.317,16.2816,1064.1472,0.1295,0.1295,0.2021,0.057,771.7,0.09669032324528559,1
PozoS2,10507.1,36.5977,2.0613,0.2079,0.2065,0.2098,2.3102,16.8777,970.432,0.1202,0.1202,0.239,0.0156,676.8,0.10112958368003355,1
PozoS2,10508.6,34.2518,1.9833,0.2158,0.2024,0.2251,2.3093,15.3915,917.1941,0.1262,0.1262,0.2104,0.0749,424.0,0.12211786575866901,1
PozoS2,10511.1,24.6445,2.0534,0.2186,0.2007,0.2306,2.309,14.9299,2015.7549,0.1287,0.1287,0.0932,0.0962,2018.0,0.09384967779590114,1
PozoS2,10512.1,31.2275,1.9048,0.2237,0.2088,0.2328,2.2959,14.6607,1314.9154,0.117,0.117,0.1735,0.0732,1143.6,0.11518166162022359,1
PozoS2,10513.1,36.7911,1.9662,0.2287,0.2188,0.2338,2.281,14.4528,1154.2551,0.1037,0.1037,0.2414,0.041,2073.7,0.12010961445303725,1
PozoS2,10514.1,82.6822,1.9812,0.2281,0.2132,0.2365,2.2876,14.3109,897.5841,0.111,0.111,0.801,0.0678,5186.0,0.006000654419101803,1
PozoS2,10517.1,29.442,1.941,0.2353,0.2293,0.237,2.2647,14.0468,4523.9839,0.0909,0.0909,0.1517,0.014,3227.8,0.03549998683611594,1
PozoS2,10518.1,40.8327,2.0061,0.2344,0.2313,0.2332,2.2611,14.2157,2879.5044,0.0886,0.0886,0.2906,0.0,3029.0,0.06090784686600942,1
PozoS2,10519.6,67.36,2.3613,0.211,0.206,0.2151,2.3087,16.317,1182.1609,0.1209,0.1209,0.6141,0.0331,311.4,0.021981541402671223,1
PozoS2,10520.6,78.2714,2.1104,0.2002,0.1696,0.2251,2.3606,15.559,430.0391,0.1844,0.1844,0.7472,0.2001,36.9,0.029094125597591614,1
PozoS2,10523.1,68.4515,2.1508,0.1493,0.1326,0.1772,2.4498,20.3963,95.7156,0.2844,0.3567,0.6275,0.2249,1.3,0.012747855096354788,1
PozoS2,10524.1,64.8859,2.0873,0.1417,0.1218,0.1759,2.4726,20.0546,136.9858,0.3251,0.3251,0.584,0.2752,13.1,0.012320498224728138,1
PozoN3,10614.9,39.6452,1.9445,0.1749,0.1092,0.237,2.4639,13.9038,26.79,0.383,0.6253,0.2762,0.4998,8.971,0.07550757177603407,1
PozoN3,10615.9,53.6271,2.0637,0.1856,0.1425,0.2244,2.4079,15.3553,27.1268,0.2527,0.6943,0.4467,0.3127,1.229,0.09286174291715849,1
PozoN3,10617.4,55.2223,2.1101,0.1603,0.0978,0.2274,2.4961,14.1286,29.815,0.4481,0.5731,0.4661,0.5399,0.949,0.08220606882864173,1
PozoN3,10618.4,51.5107,2.2373,0.1776,0.132,0.2214,2.4294,15.446,28.5852,0.2867,0.6649,0.4209,0.3529,0.485,0.09942417266948239,1
PozoN3,10618.9,45.6692,2.178,0.1635,0.1067,0.2235,2.4791,14.6812,26.5846,0.3957,0.6528,0.3496,0.4828,12.834,0.08701045707625332,1
PozoN3,10620.9,60.8895,2.0745,0.1818,0.1302,0.2289,2.4279,14.8498,28.7454,0.293,0.6421,0.5352,0.3796,4.394,0.09826889747634115,1
PozoN3,10622.4,60.2816,2.1163,0.2029,0.1541,0.2405,2.3772,14.2346,29.2591,0.2205,0.6349,0.5278,0.3026,20.436,0.08837325491231396,1
PozoN3,10623.9,46.261,2.0522,0.2163,0.1668,0.2504,2.3495,13.5727,27.3267,0.1903,0.6512,0.3568,0.2748,1.74,0.09138188348083687,1
PozoN3,10624.4,41.0988,2.0176,0.2102,0.1636,0.244,2.359,14.0002,27.7521,0.1976,0.6565,0.2939,0.2723,34.824,0.10227140720169114,1
PozoN3,10625.9,47.3333,2.0645,0.2157,0.1573,0.2562,2.3609,13.2376,29.2988,0.2123,0.6048,0.3699,0.3259,13.498,0.09946889121840052,1
PozoN3,10626.9,52.9928,2.065,0.2085,0.1511,0.2506,2.3754,13.5721,34.0111,0.2284,0.5526,0.4389,0.3387,10.131,0.09716531071437029,1
PozoN3,10627.4,40.0067,2.1436,0.2109,0.1547,0.2514,2.3687,13.5268,32.0627,0.219,0.5767,0.2806,0.3257,36.555,0.10607342773912043,1
PozoN3,10628.4,30.1677,2.0077,0.2043,0.1261,0.2629,2.4097,12.7676,31.7937,0.3082,0.531,0.1606,0.4721,16.243,0.06760647292556221,1
