WELL,DEPTH,GR,PEF,PHIA,PHIE,PHIN,RHOB,RT,SwIrr,SwMS,VSH,Core_Kmax
PozoS2,10438.1,44.9573,3.5318,0.1832,0.078,0.2759,2.508,31.7223,0.6059,0.6059,0.7271,0.3
PozoS2,10464.6,62.2092,2.0134,0.1888,0.1526,0.2235,2.4083,32.1453,0.2243,0.6427,0.2599,0.1
PozoS2,10469.1,78.3169,1.9082,0.2648,0.2521,0.2697,2.2428,812.999,0.0669,0.1042,0.0202,3419.8999
PozoS2,10470.6,31.9615,2.0111,0.2611,0.2535,0.258,2.236,1201.3655,0.0656,0.0921,0,3509
PozoS2,10473.1,34.7084,1.9088,0.2533,0.247,0.2411,2.234,1273.9816,0.0719,0.0915,0,2789.2
PozoS2,10474.1,31.4484,2.0491,0.2543,0.2479,0.2535,2.2501,1099.4796,0.071,0.0985,0,2851.7
PozoS2,10481.1,58.7776,2.0931,0.178,0.1637,0.1978,2.4019,171.6665,0.1973,0.2559,0.14,508.7
PozoS2,10483.6,41.0785,1.8938,0.2454,0.2067,0.2683,2.3014,72.6329,0.1199,0.3569,0.1653,131.6
PozoS2,10484.1,44.6731,1.8888,0.2493,0.2156,0.2685,2.2894,79.965,0.1077,0.3428,0.1352,151.1
PozoS2,10487.6,29.1705,1.9257,0.2096,0.2107,0.209,2.3205,181.281,0.1144,0.292,0,3009.3
PozoS2,10489.1,23.2807,1.853,0.2101,0.2111,0.2027,2.3092,566.1708,0.1138,0.1616,0,2045.8
PozoS2,10490.6,30.0852,1.9634,0.2077,0.2037,0.214,2.3343,349.6328,0.1243,0.1928,0.0313,2689.7
PozoS2,10491.6,25.9843,2.0993,0.2075,0.2089,0.203,2.3177,294.0554,0.1168,0.2291,0,7383.3999
PozoS2,10492.1,29.0302,2.0039,0.2021,0.2044,0.2004,2.3306,153.3971,0.1232,0.3276,0,5822.5
PozoS2,10496.1,66.5888,1.9574,0.2358,0.2053,0.2554,2.3111,101.5287,0.1219,0.3062,0.1385,1227
PozoS2,10497.1,33.9557,1.9804,0.2031,0.2053,0.189,2.3095,69.6722,0.122,0.4912,0,1973.1
PozoS2,10501.1,54.9059,1.8911,0.2316,0.2233,0.2376,2.2965,460.8618,0.098,0.1536,0.0291,228
PozoS2,10502.1,49.8065,1.8963,0.2207,0.2144,0.2268,2.3137,980.5877,0.1093,0.1093,0.0299,957.5
PozoS2,10503.6,63.8276,1.8852,0.2179,0.2018,0.2311,2.3292,1004.3538,0.1271,0.1271,0.087,769.2
PozoS2,10505.1,52.2928,2.0135,0.2086,0.1999,0.2182,2.3379,882.1541,0.1299,0.1299,0.0575,554.7
PozoS2,10506.1,49.1239,1.8808,0.2089,0.2002,0.2184,2.3374,1064.1472,0.1295,0.1295,0.057,771.7
PozoS2,10507.1,52.767,2.0613,0.2079,0.2065,0.2122,2.331,970.432,0.1202,0.1202,0.0156,676.8
PozoS2,10508.6,49.9444,1.9833,0.2158,0.2024,0.2275,2.3301,917.1941,0.1262,0.1262,0.0749,424
PozoS2,10511.1,38.3847,2.0534,0.2186,0.2007,0.233,2.3298,2015.7549,0.1287,0.1287,0.0962,2018
PozoS2,10512.1,46.3055,1.9048,0.2237,0.2088,0.2352,2.3174,1314.9154,0.117,0.117,0.0732,1143.6
PozoS2,10513.1,52.9997,1.9662,0.2287,0.2188,0.2362,2.3033,1154.2551,0.1037,0.1037,0.041,2073.7
PozoS2,10514.1,108.2168,1.9812,0.2281,0.2132,0.2389,2.3095,897.5841,0.111,0.111,0.0678,5186
PozoS2,10517.1,44.1571,1.941,0.2353,0.2293,0.2394,2.2878,4523.9839,0.0909,0.0909,0.014,3227.8
PozoS2,10518.1,57.8626,2.0061,0.2344,0.2313,0.2356,2.2844,2879.5044,0.0886,0.0886,0,3029
PozoS2,10519.6,89.7808,2.3613,0.211,0.206,0.2175,2.3295,1182.1609,0.1209,0.1209,0.0331,311.4
PozoS2,10520.6,102.9097,2.1104,0.2002,0.1696,0.2275,2.3788,430.0391,0.1844,0.1844,0.2001,36.9
PozoS2,10521.6,114.6799,2.2265,0.1465,0.11,0.1981,2.5009,261.1093,0.3786,0.3786,0.3957,196.7
PozoS2,10523.1,91.0941,2.1508,0.1493,0.1326,0.1796,2.4634,95.7156,0.2844,0.3567,0.2249,1.3
PozoS2,10524.1,86.8039,2.0873,0.1417,0.1218,0.1783,2.485,136.9858,0.3251,0.3251,0.2752,13.1
PozoN3,10613.9,56.7427,2.2545,0.1847,0.0523,0.2785,2.5058,28.718,0.9894,0.9894,0.8967,11.994
PozoN3,10614.9,35.9139,1.9445,0.1749,0.1092,0.2194,2.4559,26.79,0.383,0.6253,0.4998,8.971
PozoN3,10615.9,47.4439,2.0637,0.1856,0.1425,0.2068,2.4131,27.1268,0.2527,0.6943,0.3127,1.229
PozoN3,10617.4,48.7593,2.1101,0.1603,0.0978,0.2098,2.4806,29.815,0.4481,0.5731,0.5399,0.949
PozoN3,10618.4,45.6986,2.2373,0.1776,0.132,0.2038,2.4295,28.5852,0.2867,0.6649,0.3529,0.485
PozoN3,10618.9,40.8815,2.178,0.1635,0.1067,0.2059,2.4676,26.5846,0.3957,0.6528,0.4828,12.834
PozoN3,10620.9,53.4327,2.0745,0.1818,0.1302,0.2113,2.4284,28.7454,0.293,0.6421,0.3796,4.394
PozoN3,10622.4,52.9314,2.1163,0.2029,0.1541,0.2229,2.3896,29.2591,0.2205,0.6349,0.3026,20.436
PozoN3,10623.9,41.3695,2.0522,0.2163,0.1668,0.2328,2.3684,27.3267,0.1903,0.6512,0.2748,1.74
PozoN3,10624.4,37.1126,2.0176,0.2102,0.1636,0.2264,2.3757,27.7521,0.1976,0.6565,0.2723,34.824
PozoN3,10625.9,42.2538,2.0645,0.2157,0.1573,0.2386,2.3771,29.2988,0.2123,0.6048,0.3259,13.498
PozoN3,10626.9,46.9208,2.065,0.2085,0.1511,0.233,2.3882,34.0111,0.2284,0.5526,0.3387,10.131
PozoN3,10627.4,36.212,2.1436,0.2109,0.1547,0.2338,2.3831,32.0627,0.219,0.5767,0.3257,36.555
PozoN3,10628.4,28.0984,2.0077,0.2043,0.1261,0.2453,2.4145,31.7937,0.3082,0.531,0.4721,16.243
PozoN3,10630.4,39.4578,1.9616,0.1927,0.1492,0.2118,2.4015,24.3497,0.2334,0.7383,0.2958,3.11
